,SRR13711353_PE,SRR13711353_SE,SRR13711353-SRR13711354_SE,SRR13711353-SRR13711354-SRR13711355_SE,SRR13711353-SRR13711354-SRR13711355-SRR13711356_SE,SRR13711353-SRR13711354-SRR13711355-SRR13711356-SRR13711357_SE,SRR13711353-SRR13711354_PE,SRR13711353-SRR13711354-SRR13711355_PE,SRR13711353-SRR13711354-SRR13711355-SRR13711356_PE,SRR13711353-SRR13711354-SRR13711355-SRR13711356-SRR13711357_PE,SRR12077404_PE,SRR12077404_SE,SRR12077404-SRR12077405_SE,SRR12077404-SRR12077405-SRR12077406_SE,SRR12077404-SRR12077405-SRR12077406-SRR12077407_SE,SRR12077404-SRR12077405-SRR12077406-SRR12077407-SRR12077408_SE,SRR12077404-SRR12077405_PE,SRR12077404-SRR12077405-SRR12077406_PE,SRR12077404-SRR12077405-SRR12077406-SRR12077407_PE,SRR12077404-SRR12077405-SRR12077406-SRR12077407-SRR12077408_PE
sample_id,SRR13711353,SRR13711353,SRR13711353-SRR13711354,SRR13711353-SRR13711354-SRR13711355,SRR13711353-SRR13711354-SRR13711355-SRR13711356,SRR13711353-SRR13711354-SRR13711355-SRR13711356-SRR13711357,SRR13711353-SRR13711354,SRR13711353-SRR13711354-SRR13711355,SRR13711353-SRR13711354-SRR13711355-SRR13711356,SRR13711353-SRR13711354-SRR13711355-SRR13711356-SRR13711357,SRR12077404,SRR12077404,SRR12077404-SRR12077405,SRR12077404-SRR12077405-SRR12077406,SRR12077404-SRR12077405-SRR12077406-SRR12077407,SRR12077404-SRR12077405-SRR12077406-SRR12077407-SRR12077408,SRR12077404-SRR12077405,SRR12077404-SRR12077405-SRR12077406,SRR12077404-SRR12077405-SRR12077406-SRR12077407,SRR12077404-SRR12077405-SRR12077406-SRR12077407-SRR12077408
rna_dna,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq
layout,PE,SE,SE,SE,SE,SE,PE,PE,PE,PE,PE,SE,SE,SE,SE,SE,PE,PE,PE,PE
num_reads,,,,,,,,,,,,,,,,,,,,
s_sam,9663,9763,20519,30944,40054,52555,20307,30628,39633,51976,24719,23842,45136,68692,88769,122209,46797,71242,92124,126865
s_bam,1376,1205,2453,3656,4738,6165,2814,4196,5442,7096,2293,2040,3707,5573,7159,9933,4206,6353,8178,11360
s_cram,734,609,1251,1875,2441,3186,1519,2283,2973,3893,873,764,1411,2136,2751,3892,1632,2499,3222,4555
t_bam,115,112,230,406,594,1045,339,616,857,1118,486,456,868,1284,1605,2141,855,1241,1613,2075
t_cram,85,87,179,270,343,445,176,266,342,459,202,177,331,512,658,911,368,550,720,1003
m_bam,6044,6036,6048,6084,6064,6068,6048,6056,6060,6068,6024,6032,6024,6032,6036,6044,6032,6036,6040,6044
m_cram,74204,72808,72876,73376,72780,73448,72968,73876,73304,73520,74288,72752,73888,72960,73008,73140,73224,72148,72548,72788
s_compress_abridge_save_all_quality_scores_save_exact_quality_scores_br,809,672,1377,2066,2686,3495,1663,2484,3232,4209,1030,901,1678,2538,3259,4581,1908,2889,3722,5236
s_compress_abridge_save_all_quality_scores_save_exact_quality_scores_7z,665,568,1165,1751,2278,2966,1366,2043,2662,3464,857,736,1372,2085,2670,3730,1600,2430,3140,4373
s_compress_abridge_save_all_quality_scores_save_exact_quality_scores_zpaq,598,492,1003,1504,1957,2544,1229,1834,2388,3109,752,600,1098,1646,2109,2953,1402,2127,2742,3847
t_compress_abridge_save_all_quality_scores_save_exact_quality_scores_br,1327,878,1735,2590,3770,5956,3214,5046,6755,10048,2587,1491,3109,4771,6572,8888,4413,6231,8583,11533
t_compress_abridge_save_all_quality_scores_save_exact_quality_scores_7z,3340,3500,817,1192,1425,2416,1531,2408,3023,4504,1690,1211,1503,2436,3040,4376,2483,3534,4520,5666
t_compress_abridge_save_all_quality_scores_save_exact_quality_scores_zpaq,334,255,570,988,1309,1565,899,1901,2679,3267,1007,499,1156,1943,2554,3800,1520,2331,4092,6194
m_compress_abridge_save_all_quality_scores_save_exact_quality_scores_br,2211964,2310104,12360464,70923824,23328016,14908028,8048724,81352192,100591972,43071104,992724,1008632,1245544,1530908,1781060,2180308,1218628,1497180,1755064,2129068
m_compress_abridge_save_all_quality_scores_save_exact_quality_scores_7z,11595356,2274196,25012852,45500480,95033700,54749356,21500588,81351984,28809796,121754568,28140316,28104508,28201064,28299628,28357836,28475700,28391116,28591316,28752864,29020644
m_compress_abridge_save_all_quality_scores_save_exact_quality_scores_zpaq,10826992,10717212,15853704,86723036,23708888,31898832,17694864,81351176,23011492,34530364,17610436,16841648,16913320,16945456,17336276,17815120,17112824,17554748,17560844,18122700
s_compress_abridge_save_all_quality_scores_save_approx_quality_scores_br,381,177,354,509,665,864,779,1130,1479,1932,472,273,501,749,948,1415,868,1311,1681,2441
s_compress_abridge_save_all_quality_scores_save_approx_quality_scores_7z,303,149,295,427,557,724,617,896,1173,1529,397,216,394,599,750,1094,735,1111,1427,2026
s_compress_abridge_save_all_quality_scores_save_approx_quality_scores_zpaq,286,132,262,379,496,644,583,845,1106,1443,383,210,379,562,709,1043,709,1069,1371,1970
t_compress_abridge_save_all_quality_scores_save_approx_quality_scores_br,626,334,710,1094,1470,2818,1847,2963,4183,6783,2066,751,1703,2563,3566,5694,3628,4704,6345,10091
t_compress_abridge_save_all_quality_scores_save_approx_quality_scores_7z,404,321,549,814,1048,2018,1080,2184,2419,3879,1276,867,1199,2111,2856,4021,2381,3518,4607,7214
t_compress_abridge_save_all_quality_scores_save_approx_quality_scores_zpaq,310,222,504,885,1207,1390,797,1855,2371,3879,1019,473,1105,1898,2568,3638,1457,3117,4104,6204
m_compress_abridge_save_all_quality_scores_save_approx_quality_scores_br,2211960,2274200,12360080,65372304,50383080,40245984,8050316,7971116,8775136,62510616,1001544,1008104,1245816,1530412,1782636,2178656,1220512,1498916,1751876,2130936
m_compress_abridge_save_all_quality_scores_save_approx_quality_scores_7z,7017684,3420312,12360688,86721136,38390524,41545528,13715548,81350876,270929608,27196560,7141940,5201600,8880124,13144660,12572020,15260676,12676940,13726476,14847296,20275860
m_compress_abridge_save_all_quality_scores_save_approx_quality_scores_zpaq,8788600,4437432,12363156,86719460,20073516,49763708,10945876,61735192,87120712,86271016,9553616,7051812,10585024,12350828,11926668,14577764,12043068,14155656,16320316,18140284
s_compress_abridge_ignore_quality_scores_br,340,133,265,378,495,643,696,1008,1322,1730,391,239,439,657,829,1255,726,1103,1419,2088
s_compress_abridge_ignore_quality_scores_7z,264,107,212,305,399,518,539,781,1026,1341,323,185,340,519,647,954,608,925,1194,1709
s_compress_abridge_ignore_quality_scores_zpaq,250,93,185,265,347,452,511,739,970,1269,314,178,322,476,600,895,589,894,1151,1672
t_compress_abridge_ignore_quality_scores_br,607,312,658,1010,2077,3113,2052,3333,4388,5913,1567,1010,2246,3502,4497,6776,3476,5494,6084,7227
t_compress_abridge_ignore_quality_scores_7z,438,321,551,813,1337,2193,1271,2055,2804,3030,1227,1126,1579,2877,3681,5041,2825,4307,5483,8706
t_compress_abridge_ignore_quality_scores_zpaq,388,309,717,1249,1588,1673,966,2133,2198,3316,1124,971,1298,2890,3721,4526,2701,2901,3697,7302
m_compress_abridge_ignore_quality_scores_br,2213916,2274172,12360712,45564848,92301096,14574764,8049636,81350704,12453448,15030944,1000872,1006060,1245928,1530420,1780936,2177968,1220496,1499220,1752280,2128320
m_compress_abridge_ignore_quality_scores_7z,6397032,2686564,12363764,86723496,56311680,13334740,13269400,31469236,36975412,42242260,6267408,4484600,8056540,12253552,11538664,15162400,11603252,11831332,14742120,20155564
m_compress_abridge_ignore_quality_scores_zpaq,8954936,3976112,12360204,82429464,24422524,23307968,10992016,81349216,15483164,19136096,8998268,6433264,9359024,10852872,11824456,14276712,10497020,12802228,14865980,17021884
s_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_br,315,105,206,293,386,503,643,929,1220,1599,326,177,327,496,628,986,609,928,1194,1774
s_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_7z,243,82,163,229,301,397,495,712,934,1225,265,134,251,380,484,720,503,769,996,1438
s_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_zpaq,234,73,146,206,272,356,477,687,900,1180,266,132,242,365,460,708,500,761,979,1438
t_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_br,557,256,534,793,1358,1977,2143,2679,4108,5914,1347,829,1621,2332,3672,5442,2692,5139,5945,7646
t_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_7z,420,302,499,696,1454,1553,1275,1982,2607,3898,1574,1051,1473,1948,2940,4473,1714,3700,4620,5763
t_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_zpaq,381,261,607,1076,1375,1393,888,1999,1993,3049,1273,592,1134,2462,3204,3557,2458,2512,3170,6082
m_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_br,2209292,2268068,12346212,60993044,44552516,49964984,8045980,38083104,29255648,13370128,1001252,1006500,1244444,1535768,1782244,2182168,1220048,1498132,1751396,2127840
m_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_7z,6177512,2541576,12347676,86409180,115856500,38933548,12440628,15545560,51638440,27057152,5408596,4166016,7027792,10507940,12922336,11706840,9928044,9832140,11933360,16429916
m_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_zpaq,8693736,3323344,12345628,82548156,25023080,15749188,11916852,68339352,13920196,17225096,7733388,5580032,8972000,10840528,11670612,12210620,10366496,12322064,14021076,15786872
s_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_br,83,28,55,76,96,120,171,252,323,417,250,128,237,357,450,602,465,705,906,1237
s_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_7z,69,22,45,57,72,94,142,203,259,334,207,96,181,271,344,460,393,598,774,1060
s_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_zpaq,73,20,39,53,68,86,149,217,277,360,213,97,178,267,335,447,402,609,781,1072
t_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_br,316,176,377,569,1357,1730,1095,2328,3017,4146,1445,757,1653,1774,3435,4717,2431,4723,5630,6907
t_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_7z,404,229,466,639,1414,1694,1106,2074,2415,3704,1176,745,1447,2715,2921,3990,2402,3686,4170,6496
t_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_zpaq,340,261,578,1019,1313,1309,796,1827,2565,3779,741,550,1509,2378,3117,4131,2434,2477,4328,4781
m_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_br,2211336,2270096,12345528,86703580,195327640,233758628,8046524,81351580,174537972,30146256,1001224,1006740,1244456,1533716,1782288,2180796,1220044,1496120,1749748,2127660
m_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_7z,2211288,2270096,12345660,65796000,66090028,181143852,8051060,56937776,8194760,14220400,3611748,2874368,5200436,7142160,8922328,11637564,6397988,9805180,11953296,16369832
m_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_zpaq,2211332,2268052,12349584,86705896,19566284,8723828,3859012,6519240,22713044,65977828,5172836,4068700,7145148,9951644,11553436,11728948,9256612,11262128,11764628,13435380
s_compress_deez_lossy_0_mode_1,747,669,1359,2032,2681,3508,1542,2316,3021,3960,845,841,1571,2395,3092,4405,1587,2428,3149,4500
s_compress_deez_lossy_0_mode_2,779,702,1429,2138,2818,3687,1612,2421,3157,4138,873,868,1621,2471,3190,4540,1638,2506,3250,4639
s_compress_deez_lossy_50_mode_1,747,669,1359,2032,2681,3508,1542,2316,3021,3960,845,841,1571,2395,3092,4405,1587,2428,3149,4500
s_compress_deez_lossy_50_mode_2,779,702,1429,2138,2818,3687,1612,2421,3157,4138,873,868,1621,2471,3190,4540,1638,2506,3250,4639
s_compress_deez_lossy_99_mode_1,542,463,937,1394,1851,2425,1124,1683,2197,2886,845,841,1571,2395,3092,4405,1587,2428,3149,4500
s_compress_deez_lossy_99_mode_2,564,486,985,1465,1943,2546,1171,1754,2289,3006,873,868,1621,2471,3190,4540,1638,2506,3250,4639
t_compress_deez_lossy_0_mode_1,272,288,539,809,1117,1454,526,815,1056,1377,510,540,1045,1625,2160,3141,974,1516,2266,3182
t_compress_deez_lossy_0_mode_2,258,270,500,753,1045,1372,488,768,993,1295,482,507,981,1500,2015,2936,929,1431,2110,2979
t_compress_deez_lossy_50_mode_1,275,289,545,823,1136,1475,524,823,1059,1395,517,545,1032,1586,2152,3285,981,1525,2271,3249
t_compress_deez_lossy_50_mode_2,260,274,504,759,1078,1382,492,773,1002,1292,485,514,980,1547,2033,3250,938,1437,2150,3038
t_compress_deez_lossy_99_mode_1,263,280,521,775,1075,1420,501,777,1028,1338,510,546,1039,1652,2153,3817,998,1538,2244,3223
t_compress_deez_lossy_99_mode_2,253,263,492,734,1016,1345,481,748,959,1250,481,517,969,1457,2042,2799,934,1505,2120,3151
m_compress_deez_lossy_0_mode_1,2733964,2748084,2734952,2729768,2800228,2757784,2719760,2787992,2767848,2758660,2340228,2342628,2311528,2308344,2378592,2419988,2351336,2389680,2366820,2520468
m_compress_deez_lossy_0_mode_2,2258996,2286932,2306288,2305452,2369808,2380396,2290636,2347228,2340012,2329696,1862996,1941340,1925916,1910144,1951168,2007700,1921516,1866244,1918560,2065836
m_compress_deez_lossy_50_mode_1,2734532,2748140,2736860,2728548,2785424,2779536,2717444,2791488,2766820,2758700,2340624,2342668,2313120,2307868,2381660,2417768,2351860,2388384,2368056,2522104
m_compress_deez_lossy_50_mode_2,2261708,2286540,2307980,2303844,2362380,2339592,2292492,2347604,2337056,2330228,1861748,1941496,1928008,1905772,1950496,2005628,1921264,1867304,1918472,2066948
m_compress_deez_lossy_99_mode_1,2721628,2730944,2689056,2722840,2787228,2750040,2707672,2755880,2780084,2742700,2340268,2342668,2312628,2306980,2380796,2419296,2353804,2387604,2368376,2520664
m_compress_deez_lossy_99_mode_2,2248896,2305864,2308204,2283780,2344300,2360972,2260404,2341108,2348736,2317468,1863424,1940776,1925972,1911896,1951200,2011156,1921756,1866580,1918252,2065116
s_compress_samcomp,653,615,1227,1817,2349,3045,1309,1928,2497,3239,963,947,1585,2280,2863,3926,1619,2332,2932,4023
t_compress_samcomp,148,149,300,451,583,762,297,446,577,755,313,319,608,884,1210,1697,584,961,1220,1758
m_compress_samcomp,443388,443312,445216,443828,443424,444336,444728,444772,445272,444108,443876,445204,445104,443540,443284,443288,445148,444160,443284,443280
s_compress_genozip_optimize__compression_best,648,600,1269,1933,2504,3262,1338,1999,2602,3387,910,774,1476,2310,2975,4181,1687,2557,3295,4611
s_compress_genozip_optimize__compression_fast,677,637,1334,2014,2704,3506,1396,2150,2697,3639,972,814,1546,2466,3059,4420,1731,2753,3408,4952
s_compress_genozip_optimize_optimize_compression_best,648,600,1269,1924,2504,3262,1338,1999,2602,3387,910,774,1476,2310,2975,4145,1687,2558,3295,4611
s_compress_genozip_optimize_optimize_compression_fast,676,635,1331,2085,2621,3405,1401,2140,2701,3637,949,848,1545,2357,3060,4279,1818,2679,3428,4783
t_compress_genozip_optimize__compression_best,831,923,1279,1639,3844,5023,1224,1641,2398,3095,3334,1916,3706,4718,5954,8148,6156,5565,6012,8228
t_compress_genozip_optimize__compression_fast,673,471,1543,1611,3043,4011,1059,1307,3130,2522,1289,879,1819,2324,3360,3772,2571,2279,3260,3853
t_compress_genozip_optimize_optimize_compression_best,592,640,1149,2915,2544,2795,1937,1844,3756,3277,3259,1920,3554,5615,6011,7994,3641,5255,6164,8202
t_compress_genozip_optimize_optimize_compression_fast,480,476,1592,2333,2091,2803,1003,1585,2097,2653,820,1253,1814,2427,3340,3876,1488,3822,5084,4349
m_compress_genozip_optimize__compression_best,1389372,1952448,3751776,4152300,4017236,4151896,1577384,2372188,2005356,2133716,1879124,3854928,5100792,6280860,6431852,7020852,2720836,3760784,3989440,5041996
m_compress_genozip_optimize__compression_fast,920728,1850052,2928204,3588868,3624016,3820020,1161992,1438996,1577872,1890028,1778536,2627920,4820480,5268428,5272836,6920956,2360788,3188460,4101852,4567416
m_compress_genozip_optimize_optimize_compression_best,1331024,2018704,3809676,3989900,4028032,4367956,1705136,2172932,1957312,2178420,1989844,3809772,5148956,5251968,6422612,7027768,2735168,3687216,3976152,5060580
m_compress_genozip_optimize_optimize_compression_fast,877200,1826128,2928100,3537900,3698356,3917784,1133116,1290412,1578640,1987568,1799616,2572500,4811496,5271744,5269420,6915656,2423648,3161520,3994912,4513332
s_compress_csam_q_0_m_0,984,1027,2109,3180,4125,5393,2023,3051,3953,5156,1639,1474,2709,4092,5277,7268,3020,4566,5886,8101
s_compress_csam_q_0_m_1,984,1027,2109,3180,4125,5393,2023,3051,3953,5156,1639,1474,2709,4092,5277,7268,3020,4566,5886,8101
s_compress_csam_q_0_m_2,984,1027,2109,3180,4125,5393,2023,3051,3953,5156,1639,1474,2709,4092,5277,7268,3020,4566,5886,8101
s_compress_csam_q_1_m_0,1591,1638,3359,5075,6593,8609,3263,4930,6400,8343,2495,2252,4137,6250,8061,11107,4592,6945,8959,12346
s_compress_csam_q_1_m_1,1354,1399,2868,4333,5627,7350,2777,4194,5441,7095,2214,1978,3633,5490,7080,9755,4075,6164,7952,10957
