Organism,Tissue,Layout,Assay Type,Date of publication,Read Length,Number of spots,SRA Accession,Genome,Transcriptome
Arabidopsis thaliana,Root,PE,RNA-Seq,2020,150+150,28.8M,SRR16971097,,
Arabidopsis thaliana,Rosette leaf,PE,DNA-Seq,2021,150+150,45.1M,ERR7052295,,
Homo sapiens,Eye,PE,RNA-Seq,2021,150+150,29.0M,SRR17267550,,
Homo sapiens,Blood,PE,DNA-Seq,2021,150+150,405M,SRR17009849,,
Zea mays,Leaf,PE,RNA-Seq,2021,149+149,22.5M,SRR17110459,,
Zea mays,Endosperm,PE,DNA-Seq,2021,149+149,53M,SRR15725939,,
Saccharomyces cerevisiae,Whole,PE,RNA-Seq,2021,150+150,19M,SRR17310290,,
Saccharomyces cerevisiae,Whole,PE,DNA-Seq,2021,150+150,16.1M,SRR16265710,,
Caenorhabditis elegans,Whole,PE,RNA-Seq,2021,138+138,24.2M,SRR15508146,,
Caenorhabditis elegans,Whole,PE,DNA-Seq,2021,151+151,12.7M,SRR17154985,,
Drosophila melanogaster,Whole,PE,RNA-Seq,2021,150+150,48.8M,SRR17282377,,
Drosophila melanogaster,Whole,PE,DNA-Seq,2021,151+151,105.1M,ERR5717056,,
