type,assay_type,layout,field,size
Parameter_setting_1,RNA-Seq,PE,Mapped Read Sequence,31195699
Parameter_setting_1,RNA-Seq,PE,Quality Scores of Mapped Reads,3012765817
Parameter_setting_1,RNA-Seq,PE,Position Information,3272513
Parameter_setting_1,RNA-Seq,PE,SAM Format Flag,7328208
Parameter_setting_1,RNA-Seq,PE,ABRIDGE Index,1584210
Parameter_setting_1,RNA-Seq,PE,Read Names of Mapped Reads,140271067
Parameter_setting_1,RNA-Seq,PE,Other,54014727
Parameter_setting_1,RNA-Seq,PE,Unmapped Read Sequence,752154254
Parameter_setting_1,RNA-Seq,PE,Quality Scores of Unmapped Reads,752154254
Parameter_setting_1,RNA-Seq,PE,Tags,21965354
Parameter_setting_2,RNA-Seq,PE,Mapped Read Sequence,31195699
Parameter_setting_2,RNA-Seq,PE,Quality Scores of Mapped Reads,109839534
Parameter_setting_2,RNA-Seq,PE,Position Information,3272513
Parameter_setting_2,RNA-Seq,PE,SAM Format Flag,7328208
Parameter_setting_2,RNA-Seq,PE,ABRIDGE Index,1589582
Parameter_setting_2,RNA-Seq,PE,Read Names of Mapped Reads,140271067
Parameter_setting_2,RNA-Seq,PE,Other,34174990
Parameter_setting_2,RNA-Seq,PE,Unmapped Read Sequence,752154254
Parameter_setting_2,RNA-Seq,PE,Quality Scores of Unmapped Reads,752154254
Parameter_setting_2,RNA-Seq,PE,Tags,21965354
Parameter_setting_3,RNA-Seq,PE,Mapped Read Sequence,31195699
Parameter_setting_3,RNA-Seq,PE,Quality Scores of Mapped Reads,16942729
Parameter_setting_3,RNA-Seq,PE,Position Information,3272513
Parameter_setting_3,RNA-Seq,PE,SAM Format Flag,7328208
Parameter_setting_3,RNA-Seq,PE,ABRIDGE Index,1138045
Parameter_setting_3,RNA-Seq,PE,Read Names of Mapped Reads,140271067
Parameter_setting_3,RNA-Seq,PE,Other,34174839
Parameter_setting_3,RNA-Seq,PE,Unmapped Read Sequence,752154254
Parameter_setting_3,RNA-Seq,PE,Quality Scores of Unmapped Reads,752154254
Parameter_setting_3,RNA-Seq,PE,Tags,21965354
Parameter_setting_4,RNA-Seq,PE,Mapped Read Sequence,14997097
Parameter_setting_4,RNA-Seq,PE,Quality Scores of Mapped Reads,14930918
Parameter_setting_4,RNA-Seq,PE,Position Information,3272513
Parameter_setting_4,RNA-Seq,PE,SAM Format Flag,5859746
Parameter_setting_4,RNA-Seq,PE,ABRIDGE Index,1128991
Parameter_setting_4,RNA-Seq,PE,Read Names of Mapped Reads,140271067
Parameter_setting_4,RNA-Seq,PE,Other,28157447
Parameter_setting_4,RNA-Seq,PE,Unmapped Read Sequence,752154254
Parameter_setting_4,RNA-Seq,PE,Quality Scores of Unmapped Reads,752154254
Parameter_setting_4,RNA-Seq,PE,Tags,21965354
Parameter_setting_5,RNA-Seq,PE,Mapped Read Sequence,14997097
Parameter_setting_5,RNA-Seq,PE,Quality Scores of Mapped Reads,14930918
Parameter_setting_5,RNA-Seq,PE,Position Information,3272513
Parameter_setting_5,RNA-Seq,PE,SAM Format Flag,5859746
Parameter_setting_5,RNA-Seq,PE,ABRIDGE Index,1128991
Parameter_setting_5,RNA-Seq,PE,Read Names of Mapped Reads,140271067
Parameter_setting_5,RNA-Seq,PE,Other,18195139
Parameter_setting_5,RNA-Seq,PE,Unmapped Read Sequence,0
Parameter_setting_5,RNA-Seq,PE,Quality Scores of Unmapped Reads,0
Parameter_setting_5,RNA-Seq,PE,Tags,21965354
Parameter_setting_1,RNA-Seq,SE,Mapped Read Sequence,41042915
Parameter_setting_1,RNA-Seq,SE,Quality Scores of Mapped Reads,3535481153
Parameter_setting_1,RNA-Seq,SE,Position Information,3498756
Parameter_setting_1,RNA-Seq,SE,SAM Format Flag,8253510
Parameter_setting_1,RNA-Seq,SE,ABRIDGE Index,109688
Parameter_setting_1,RNA-Seq,SE,Read Names of Mapped Reads,117192539
Parameter_setting_1,RNA-Seq,SE,Other,41171228
Parameter_setting_1,RNA-Seq,SE,Unmapped Read Sequence,259135932
Parameter_setting_1,RNA-Seq,SE,Quality Scores of Unmapped Reads,259135932
Parameter_setting_1,RNA-Seq,SE,Tags,24891276
Parameter_setting_2,RNA-Seq,SE,Mapped Read Sequence,41042915
Parameter_setting_2,RNA-Seq,SE,Quality Scores of Mapped Reads,119779589
Parameter_setting_2,RNA-Seq,SE,Position Information,3498756
Parameter_setting_2,RNA-Seq,SE,SAM Format Flag,8253510
Parameter_setting_2,RNA-Seq,SE,ABRIDGE Index,109720
Parameter_setting_2,RNA-Seq,SE,Read Names of Mapped Reads,117207359
Parameter_setting_2,RNA-Seq,SE,Other,17884204
Parameter_setting_2,RNA-Seq,SE,Unmapped Read Sequence,259135932
Parameter_setting_2,RNA-Seq,SE,Quality Scores of Unmapped Reads,259135932
Parameter_setting_2,RNA-Seq,SE,Tags,24891276
Parameter_setting_3,RNA-Seq,SE,Mapped Read Sequence,41042915
Parameter_setting_3,RNA-Seq,SE,Quality Scores of Mapped Reads,19117728
Parameter_setting_3,RNA-Seq,SE,Position Information,3498756
Parameter_setting_3,RNA-Seq,SE,SAM Format Flag,8253510
Parameter_setting_3,RNA-Seq,SE,ABRIDGE Index,78333
Parameter_setting_3,RNA-Seq,SE,Read Names of Mapped Reads,117207359
Parameter_setting_3,RNA-Seq,SE,Other,17884053
Parameter_setting_3,RNA-Seq,SE,Unmapped Read Sequence,259135932
Parameter_setting_3,RNA-Seq,SE,Quality Scores of Unmapped Reads,259135932
Parameter_setting_3,RNA-Seq,SE,Tags,24891276
Parameter_setting_4,RNA-Seq,SE,Mapped Read Sequence,16398770
Parameter_setting_4,RNA-Seq,SE,Quality Scores of Mapped Reads,16914204
Parameter_setting_4,RNA-Seq,SE,Position Information,3498756
Parameter_setting_4,RNA-Seq,SE,SAM Format Flag,6627888
Parameter_setting_4,RNA-Seq,SE,ABRIDGE Index,76775
Parameter_setting_4,RNA-Seq,SE,Read Names of Mapped Reads,117207359
Parameter_setting_4,RNA-Seq,SE,Other,10926907
Parameter_setting_4,RNA-Seq,SE,Unmapped Read Sequence,259135932
Parameter_setting_4,RNA-Seq,SE,Quality Scores of Unmapped Reads,259135932
Parameter_setting_4,RNA-Seq,SE,Tags,24891276
Parameter_setting_5,RNA-Seq,SE,Mapped Read Sequence,16398770
Parameter_setting_5,RNA-Seq,SE,Quality Scores of Mapped Reads,16914204
Parameter_setting_5,RNA-Seq,SE,Position Information,3498756
Parameter_setting_5,RNA-Seq,SE,SAM Format Flag,6627888
Parameter_setting_5,RNA-Seq,SE,ABRIDGE Index,76775
Parameter_setting_5,RNA-Seq,SE,Read Names of Mapped Reads,117207359
Parameter_setting_5,RNA-Seq,SE,Other,7494643
Parameter_setting_5,RNA-Seq,SE,Unmapped Read Sequence,0
Parameter_setting_5,RNA-Seq,SE,Quality Scores of Unmapped Reads,0
Parameter_setting_5,RNA-Seq,SE,Tags,24891276
Parameter_setting_1,DNA-Seq,PE,Mapped Read Sequence,79147949
Parameter_setting_1,DNA-Seq,PE,Quality Scores of Mapped Reads,9177007837
Parameter_setting_1,DNA-Seq,PE,Position Information,20040691
Parameter_setting_1,DNA-Seq,PE,SAM Format Flag,26273709
Parameter_setting_1,DNA-Seq,PE,ABRIDGE Index,38535
Parameter_setting_1,DNA-Seq,PE,Read Names of Mapped Reads,458280393
Parameter_setting_1,DNA-Seq,PE,Other,93885805
Parameter_setting_1,DNA-Seq,PE,Unmapped Read Sequence,277922438
Parameter_setting_1,DNA-Seq,PE,Quality Scores of Unmapped Reads,277922438
Parameter_setting_1,DNA-Seq,PE,Tags,140510225
Parameter_setting_2,DNA-Seq,PE,Mapped Read Sequence,79147949
Parameter_setting_2,DNA-Seq,PE,Quality Scores of Mapped Reads,279128848
Parameter_setting_2,DNA-Seq,PE,Position Information,20040691
Parameter_setting_2,DNA-Seq,PE,SAM Format Flag,26273709
Parameter_setting_2,DNA-Seq,PE,ABRIDGE Index,38539
Parameter_setting_2,DNA-Seq,PE,Read Names of Mapped Reads,458280393
Parameter_setting_2,DNA-Seq,PE,Other,33032395
Parameter_setting_2,DNA-Seq,PE,Unmapped Read Sequence,277922438
Parameter_setting_2,DNA-Seq,PE,Quality Scores of Unmapped Reads,277922438
Parameter_setting_2,DNA-Seq,PE,Tags,140510225
Parameter_setting_3,DNA-Seq,PE,Mapped Read Sequence,79147949
Parameter_setting_3,DNA-Seq,PE,Quality Scores of Mapped Reads,69375557
Parameter_setting_3,DNA-Seq,PE,Position Information,20040691
Parameter_setting_3,DNA-Seq,PE,SAM Format Flag,26273709
Parameter_setting_3,DNA-Seq,PE,ABRIDGE Index,27182
Parameter_setting_3,DNA-Seq,PE,Read Names of Mapped Reads,458280393
Parameter_setting_3,DNA-Seq,PE,Other,33032245
Parameter_setting_3,DNA-Seq,PE,Unmapped Read Sequence,277922438
Parameter_setting_3,DNA-Seq,PE,Quality Scores of Unmapped Reads,277922438
Parameter_setting_3,DNA-Seq,PE,Tags,140510225
Parameter_setting_4,DNA-Seq,PE,Mapped Read Sequence,59454970
Parameter_setting_4,DNA-Seq,PE,Quality Scores of Mapped Reads,61421548
Parameter_setting_4,DNA-Seq,PE,Position Information,20040691
Parameter_setting_4,DNA-Seq,PE,SAM Format Flag,20524003
Parameter_setting_4,DNA-Seq,PE,ABRIDGE Index,27022
Parameter_setting_4,DNA-Seq,PE,Read Names of Mapped Reads,458280393
Parameter_setting_4,DNA-Seq,PE,Other,28863581
Parameter_setting_4,DNA-Seq,PE,Unmapped Read Sequence,277922438
Parameter_setting_4,DNA-Seq,PE,Quality Scores of Unmapped Reads,277922438
Parameter_setting_4,DNA-Seq,PE,Tags,140510225
Parameter_setting_5,DNA-Seq,PE,Mapped Read Sequence,59454970
Parameter_setting_5,DNA-Seq,PE,Quality Scores of Mapped Reads,61421548
Parameter_setting_5,DNA-Seq,PE,Position Information,20040691
Parameter_setting_5,DNA-Seq,PE,SAM Format Flag,20524003
Parameter_setting_5,DNA-Seq,PE,ABRIDGE Index,27022
Parameter_setting_5,DNA-Seq,PE,Read Names of Mapped Reads,458280393
